STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19390901,329,0,0,53,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.40,0,0,-9999,0,0,0.40,0,0,0.0,0,0,109.0,0,0,36.0,0,0,90.0,0,0,58.5,0,0,74.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19391001,29,0,0,223,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.13,0,0,-9999,0,0,0.17,0,0,0.0,0,0,89.1,0,0,26.1,0,0,74.5,0,0,42.8,0,0,58.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400401,20,0,0,373,0,0,2,0,0,1,0,0,0,0,0,7,0,0,4,0,0,1,0,0,0,0,0,0.70,0,0,-9999,0,0,1.44,0,0,0.5,0,0,95.0,0,0,16.0,0,0,66.6,0,0,39.9,0,0,53.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400501,49,0,0,127,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0.67,0,0,-9999,0,0,2.43,0,0,0.0,0,0,93.9,0,0,32.0,0,0,76.8,0,0,48.0,0,0,62.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400601,277,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0.61,0,0,-9999,0,0,2.29,0,0,-9999,0,0,106.0,0,0,43.0,0,0,87.8,0,0,59.5,0,0,73.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400701,535,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3.13,0,0,-9999,0,0,3.95,0,0,0.0,0,0,113.0,0,0,55.0,0,0,96.4,0,0,67.6,0,0,82.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400801,334,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,1.99,0,0,-9999,0,0,3.24,0,0,-9999,0,0,107.1,0,0,51.1,0,0,88.3,0,0,63.0,0,0,75.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19400901,231,0,0,61,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,1.15,0,0,-9999,0,0,2.56,0,0,0.0,0,0,100.0,0,0,37.0,0,0,83.7,0,0,57.6,0,0,70.5,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19401001,40,0,0,129,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0.39,0,0,-9999,0,0,0.80,0,0,-9999,0,0,90.0,0,0,30.0,0,0,77.4,0,0,46.8,0,0,62.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410401,7,0,0,384,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,3,0,0,0,0,0,0.82,0,0,-9999,0,0,4.52,0,0,2.9,0,0,78.1,0,0,30.0,0,0,62.8,0,0,41.9,0,0,52.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410501,98,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0.63,0,0,-9999,0,0,2.85,0,0,0.0,0,0,97.0,0,0,39.0,0,0,77.0,0,0,54.3,0,0,65.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410601,218,0,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,2,0,0,2.57,0,0,-9999,0,0,5.98,0,0,0.0,0,0,98.1,0,0,46.9,0,0,83.5,0,0,59.7,0,0,71.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410701,451,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.22,0,0,-9999,0,0,0.71,0,0,0.0,0,0,105.1,0,0,53.1,0,0,93.7,0,0,65.1,0,0,79.5,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410801,421,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,2,0,0,2.36,0,0,-9999,0,0,5.39,0,0,-9999,0,0,104.0,0,0,59.0,0,0,92.7,0,0,64.4,0,0,78.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19410901,255,0,0,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0.99,0,0,-9999,0,0,2.77,0,0,0.0,0,0,100.0,0,0,39.0,0,0,84.0,0,0,58.3,0,0,71.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19411001,13,0,0,266,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0.39,0,0,-9999,0,0,1.98,0,0,0.0,0,0,87.1,0,0,28.0,0,0,67.8,0,0,45.7,0,0,56.8,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420401,16,0,0,348,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,3,0,0,1,0,0,1.59,0,0,-9999,0,0,3.94,0,0,0.0,0,0,88.0,0,0,18.0,0,0,67.1,0,0,40.6,0,0,54.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420501,98,0,0,201,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,4.42,0,0,-9999,0,0,4.85,0,0,-9999,0,0,100.9,0,0,30.0,0,0,75.7,0,0,47.5,0,0,61.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420601,207,0,0,27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,2,0,0,2.07,0,0,-9999,0,0,6.57,0,0,-9999,0,0,102.9,0,0,45.0,0,0,82.2,0,0,59.7,0,0,70.9,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420701,480,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0.59,0,0,-9999,0,0,2.35,0,0,0.0,0,0,107.1,0,0,57.0,0,0,95.4,0,0,65.5,0,0,80.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420801,369,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1.74,0,0,-9999,0,0,2.77,0,0,0.0,0,0,105.1,0,0,53.1,0,0,89.4,0,0,64.2,0,0,76.8,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19420901,142,0,0,157,0,0,7,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0.30,0,0,-9999,0,0,0.93,0,0,-9999,0,0,99.0,0,0,30.0,0,0,77.4,0,0,51.6,0,0,64.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19421001,13,0,0,289,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0.52,0,0,-9999,0,0,1.53,0,0,0.0,0,0,91.0,0,0,19.9,0,0,70.5,0,0,41.5,0,0,56.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430401,7,0,0,295,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,0,0,0,0.84,0,0,-9999,0,0,1.37,0,0,0.0,0,0,87.1,0,0,23.0,0,0,71.1,0,0,39.6,0,0,55.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430501,45,0,0,286,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0.57,0,0,-9999,0,0,2.13,0,0,-9999,0,0,91.0,0,0,33.1,0,0,69.3,0,0,45.1,0,0,57.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430601,349,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0.61,0,0,-9999,0,0,1.00,0,0,0.0,0,0,108.0,0,0,48.9,0,0,90.7,0,0,61.5,0,0,76.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430701,505,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0.55,0,0,-9999,0,0,2.22,0,0,0.0,0,0,107.1,0,0,53.1,0,0,95.9,0,0,66.6,0,0,81.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430801,559,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,1.38,0,0,-9999,0,0,2.98,0,0,0.0,0,0,109.9,0,0,51.1,0,0,97.9,0,0,68.2,0,0,82.9,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19430901,107,0,0,94,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1.60,0,0,-9999,0,0,2.25,0,0,0.0,0,0,96.1,0,0,34.0,0,0,80.4,0,0,50.4,0,0,65.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19431001,2,0,0,404,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0.43,0,0,-9999,0,0,0.59,0,0,0.0,0,0,87.1,0,0,19.9,0,0,69.8,0,0,34.2,0,0,52.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440401,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,2,0,0,1,0,0,1.08,0,0,-9999,0,0,4.32,0,0,-9999,0,0,70.0,0,0,24.1,0,0,55.6,0,0,35.6,0,0,45.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440501,72,0,0,149,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,3,0,0,0,0,0,0.65,0,0,-9999,0,0,2.70,0,0,-9999,0,0,86.0,0,0,28.0,0,0,74.5,0,0,50.5,0,0,62.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440601,298,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.68,0,0,-9999,0,0,0.99,0,0,-9999,0,0,104.0,0,0,46.9,0,0,87.6,0,0,61.0,0,0,74.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440701,384,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,3,0,0,1.84,0,0,-9999,0,0,6.40,0,0,-9999,0,0,106.0,0,0,55.0,0,0,90.5,0,0,64.2,0,0,77.4,0,0
